Timestamp,n-transactions-total
04/06/2020,535702267
05/06/2020,536019398
06/06/2020,536347920
07/06/2020,536631092
08/06/2020,536885190
09/06/2020,537201669
10/06/2020,537529611
11/06/2020,537854272
12/06/2020,538187853
13/06/2020,538503976
14/06/2020,538785787
15/06/2020,539060238
16/06/2020,539355409
17/06/2020,539696929
18/06/2020,540030541
19/06/2020,540314507
20/06/2020,540658574
21/06/2020,540942076
22/06/2020,541201432
23/06/2020,541502518
24/06/2020,541857621
25/06/2020,542170390
26/06/2020,542483040
27/06/2020,542812617
28/06/2020,543087752
29/06/2020,543353233
30/06/2020,543668636
01/07/2020,543968606
02/07/2020,544351116
03/07/2020,544690320
04/07/2020,545021478
05/07/2020,545310370
06/07/2020,545584401
07/07/2020,545922590
08/07/2020,546267982
09/07/2020,546617219
10/07/2020,546979011
11/07/2020,547324459
12/07/2020,547632915
13/07/2020,547914934
14/07/2020,548225159
15/07/2020,548583955
16/07/2020,548899942
17/07/2020,549246751
18/07/2020,549540245
19/07/2020,549851312
20/07/2020,550128407
21/07/2020,550438348
22/07/2020,550751673
23/07/2020,551115490
24/07/2020,551451827
25/07/2020,551820942
26/07/2020,552114643
27/07/2020,552413875
28/07/2020,552741062
29/07/2020,553095438
30/07/2020,553442577
31/07/2020,553770495
01/08/2020,554127306
02/08/2020,554422556
03/08/2020,554710270
04/08/2020,555044428
05/08/2020,555373330
06/08/2020,555665915
07/08/2020,556022130
08/08/2020,556348629
09/08/2020,556632721
10/08/2020,556901315
11/08/2020,557209574
12/08/2020,557558891
13/08/2020,557905254
14/08/2020,558230773
15/08/2020,558596797
16/08/2020,558910456
17/08/2020,559196165
18/08/2020,559488830
19/08/2020,559833731
20/08/2020,560169336
21/08/2020,560501695
22/08/2020,560816607
23/08/2020,561127786
24/08/2020,561416625
25/08/2020,561745693
26/08/2020,562049916
27/08/2020,562374913
28/08/2020,562702084
29/08/2020,563055351
30/08/2020,563347869
31/08/2020,563616429
01/09/2020,563920688
02/09/2020,564296566
03/09/2020,564613771
04/09/2020,564925454
05/09/2020,565222979
06/09/2020,565548789
07/09/2020,565811414
08/09/2020,566138653
09/09/2020,566471474
10/09/2020,566786901
11/09/2020,567132303
12/09/2020,567440733
13/09/2020,567741366
14/09/2020,567995956
15/09/2020,568348616
16/09/2020,568683964
17/09/2020,569025108
18/09/2020,569374777
19/09/2020,569700045
20/09/2020,569995917
21/09/2020,570255219
22/09/2020,570552657
23/09/2020,570865205
24/09/2020,571215214
25/09/2020,571532636
26/09/2020,571884361
27/09/2020,572161256
28/09/2020,572421210
29/09/2020,572717092
30/09/2020,573063493
01/10/2020,573414811
02/10/2020,573719849
03/10/2020,574036153
04/10/2020,574346133
05/10/2020,574614906
06/10/2020,574909252
07/10/2020,575227641
08/10/2020,575598463
09/10/2020,575927903
10/10/2020,576267005
11/10/2020,576565333
12/10/2020,576822203
13/10/2020,577136548
14/10/2020,577469354
15/10/2020,577784733
16/10/2020,578125832
17/10/2020,578449559
18/10/2020,578725039
19/10/2020,578956984
20/10/2020,579259854
21/10/2020,579591519
22/10/2020,579902150
23/10/2020,580241547
24/10/2020,580564105
25/10/2020,580871863
26/10/2020,581366349
27/10/2020,581618610
28/10/2020,581879482
29/10/2020,582155686
30/10/2020,582424486
31/10/2020,582699549
01/11/2020,582975972
02/11/2020,583201079
03/11/2020,583532417
04/11/2020,583853714
05/11/2020,584172804
06/11/2020,584511895
07/11/2020,584782652
08/11/2020,585026483
09/11/2020,585352179
10/11/2020,585654863
11/11/2020,585977687
12/11/2020,586302545
13/11/2020,586602857
14/11/2020,586876471
15/11/2020,587129507
16/11/2020,587441468
17/11/2020,587788639
18/11/2020,588151224
19/11/2020,588462172
20/11/2020,588809079
21/11/2020,589120273
22/11/2020,589392628
23/11/2020,589690344
24/11/2020,590022426
25/11/2020,590384379
26/11/2020,590709538
27/11/2020,591031841
28/11/2020,591325128
29/11/2020,591587779
30/11/2020,591845265
01/12/2020,592224018
02/12/2020,592551402
03/12/2020,592897766
04/12/2020,593216125
05/12/2020,593499022
06/12/2020,593756893
07/12/2020,594058381
08/12/2020,594389579
09/12/2020,594710187
10/12/2020,595023871
11/12/2020,595329667
12/12/2020,595625116
13/12/2020,595900576
14/12/2020,596214244
15/12/2020,596535607
16/12/2020,596850993
17/12/2020,597160565
18/12/2020,597536312
19/12/2020,597879066
20/12/2020,598161238
21/12/2020,598431201
22/12/2020,598754278
23/12/2020,599094619
24/12/2020,599363465
25/12/2020,599667152
26/12/2020,599940609
27/12/2020,600249266
28/12/2020,600559694
29/12/2020,600894553
30/12/2020,601234597
31/12/2020,601577750
01/01/2021,601835959
02/01/2021,602133929
03/01/2021,602493027
04/01/2021,602865747
05/01/2021,603220075
06/01/2021,603618745
07/01/2021,604020433
08/01/2021,604378746
09/01/2021,604699941
10/01/2021,605031340
11/01/2021,605365473
12/01/2021,605701559
13/01/2021,606020714
14/01/2021,606359799
15/01/2021,606704771
16/01/2021,607012869
17/01/2021,607284053
18/01/2021,607597959
19/01/2021,607923111
20/01/2021,608238505
21/01/2021,608528316
22/01/2021,608856456
23/01/2021,609159533
24/01/2021,609414229
25/01/2021,609724325
26/01/2021,610060755
27/01/2021,610385526
28/01/2021,610710114
29/01/2021,611051246
30/01/2021,611362218
31/01/2021,611653129
01/02/2021,611935068
02/02/2021,612298330
03/02/2021,612644488
04/02/2021,613011786
05/02/2021,613372494
06/02/2021,613705044
07/02/2021,613991206
08/02/2021,614328326
09/02/2021,614687413
10/02/2021,615029311
11/02/2021,615332616
12/02/2021,615675745
13/02/2021,616012831
14/02/2021,616311324
15/02/2021,616620556
16/02/2021,616915144
17/02/2021,617234210
18/02/2021,617551258
19/02/2021,617891682
20/02/2021,618213360
21/02/2021,618485717
22/02/2021,618770919
23/02/2021,619057318
24/02/2021,619414646
25/02/2021,619741599
26/02/2021,620047255
27/02/2021,620368643
28/02/2021,620623137
01/03/2021,620904141
02/03/2021,621240675
03/03/2021,621575376
04/03/2021,621865284
05/03/2021,622182529
06/03/2021,622470889
07/03/2021,622730441
08/03/2021,623022802
09/03/2021,623323394
10/03/2021,623667545
11/03/2021,623960306
12/03/2021,624280788
13/03/2021,624557151
14/03/2021,624864230
15/03/2021,625157990
16/03/2021,625476909
17/03/2021,625772533
18/03/2021,626104525
19/03/2021,626419358
20/03/2021,626706606
21/03/2021,626942107
22/03/2021,627239875
23/03/2021,627555594
24/03/2021,627858640
25/03/2021,628178277
26/03/2021,628471132
27/03/2021,628759073
29/03/2021,629007327
30/03/2021,629311017
31/03/2021,629632447
01/04/2021,629964892
02/04/2021,630277292
03/04/2021,630582655
04/04/2021,630864591
05/04/2021,631110144
06/04/2021,631399025
07/04/2021,631709087
08/04/2021,632029917
09/04/2021,632310428
10/04/2021,632633380
11/04/2021,632932905
12/04/2021,633185692
13/04/2021,633477404
14/04/2021,633789073
15/04/2021,634085336
16/04/2021,634444578
17/04/2021,634665253
18/04/2021,634860392
19/04/2021,635135909
20/04/2021,635342343
21/04/2021,635622864
22/04/2021,635849023
23/04/2021,636123674
24/04/2021,636418250
25/04/2021,636708684
26/04/2021,636950101
27/04/2021,637190939
28/04/2021,637489504
29/04/2021,637766074
30/04/2021,638025558
01/05/2021,638316363
02/05/2021,638578365
03/05/2021,638812283
04/05/2021,639099421
05/05/2021,639401160
06/05/2021,639710395
07/05/2021,640021479
08/05/2021,640329696
09/05/2021,640605777
10/05/2021,640852263
11/05/2021,641155987
12/05/2021,641468246
13/05/2021,641770051
14/05/2021,642045750
15/05/2021,642312383
16/05/2021,642542665
17/05/2021,642762772
18/05/2021,643014160
19/05/2021,643235634
20/05/2021,643498821
21/05/2021,643726741
22/05/2021,643953439
23/05/2021,644175796
24/05/2021,644370643
25/05/2021,644605027
26/05/2021,644838441
27/05/2021,645069798
28/05/2021,645284958
29/05/2021,645503002
30/05/2021,645699597
31/05/2021,645880503
01/06/2021,646108031
02/06/2021,646341383
03/06/2021,646592644
04/06/2021,646848409
05/06/2021,647083101
06/06/2021,647278422
07/06/2021,647463939
08/06/2021,647700446
09/06/2021,647947463
10/06/2021,648157218
11/06/2021,648410825
12/06/2021,648626928
13/06/2021,648849545
14/06/2021,649035665
15/06/2021,649279717
16/06/2021,649521585
17/06/2021,649773823
18/06/2021,650012711
19/06/2021,650235583
20/06/2021,650422399
21/06/2021,650588114
22/06/2021,650795691
23/06/2021,650991516
24/06/2021,651223014
25/06/2021,651455712
26/06/2021,651675788
27/06/2021,651856510
28/06/2021,651981788
29/06/2021,652197629
30/06/2021,652404292
01/07/2021,652624360
02/07/2021,652854116
03/07/2021,653042218
04/07/2021,653279360
05/07/2021,653451532
06/07/2021,653673733
07/07/2021,653903642
08/07/2021,654124289
09/07/2021,654355373
10/07/2021,654582886
11/07/2021,654771435
12/07/2021,654935868
13/07/2021,655156548
14/07/2021,655386017
15/07/2021,655622671
16/07/2021,655849251
17/07/2021,656072799
18/07/2021,656254434
19/07/2021,656415864
20/07/2021,656643325
21/07/2021,656874059
22/07/2021,657109150
23/07/2021,657337950
24/07/2021,657569543
25/07/2021,657766748
26/07/2021,657942003
27/07/2021,658205231
28/07/2021,658459857
29/07/2021,658711559
30/07/2021,658974861
31/07/2021,659229273
01/08/2021,659435583
02/08/2021,659622688
03/08/2021,659860461
04/08/2021,660107555
05/08/2021,660346520
06/08/2021,660593281
07/08/2021,660852954
08/08/2021,661064716
09/08/2021,661257949
10/08/2021,661511165
11/08/2021,661772097
12/08/2021,662033750
13/08/2021,662284957
14/08/2021,662545400
15/08/2021,662755371
16/08/2021,662939313
17/08/2021,663203487
18/08/2021,663462188
19/08/2021,663709392
20/08/2021,663963239
21/08/2021,664234090
22/08/2021,664453353
23/08/2021,664644720
24/08/2021,664916119
25/08/2021,665178657
26/08/2021,665441225
27/08/2021,665701204
28/08/2021,665956851
29/08/2021,666176305
30/08/2021,666367389
31/08/2021,666619469
01/09/2021,666890642
02/09/2021,667169954
03/09/2021,667459991
04/09/2021,667743869
05/09/2021,667972672
06/09/2021,668178140
07/09/2021,668445953
08/09/2021,668723257
09/09/2021,668994033
10/09/2021,669268179
11/09/2021,669529572
12/09/2021,669747193
13/09/2021,669940561
14/09/2021,670195353
15/09/2021,670463218
