Timestamp,transaction-fees-usd
04/09/2019,394343.837806005
05/09/2019,388137.878601865
06/09/2019,400050.934290715
07/09/2019,280519.62622398
08/09/2019,227764.129588358
09/09/2019,337008.495786183
10/09/2019,382099.32054375
11/09/2019,350939.249230745
12/09/2019,301258.287006113
13/09/2019,284160.60451526
14/09/2019,218080.94915119
15/09/2019,189078.29735992
16/09/2019,300774.59147465
17/09/2019,354067.115070955
18/09/2019,348109.777028755
19/09/2019,372578.711265455
20/09/2019,326104.835898615
21/09/2019,235104.366842535
22/09/2019,205263.068586035
23/09/2019,322033.79822979
24/09/2019,368707.329806856
25/09/2019,365233.861125324
26/09/2019,273228.6152022 01
27/09/2019,280602.48254671
28/09/2019,188936.07082534
29/09/2019,172177.22339787
30/09/2019,333119.613915386
01/10/2019,403337.23901577
02/10/2019,313652.94602343
03/10/2019,311350.757190075
04/10/2019,226393.664453062
05/10/2019,155773.67183367
06/10/2019,135228.830037485
07/10/2019,198859.4532020 18
08/10/2019,230203.19963552
09/10/2019,254141.671543019
10/10/2019,287692.428761435
11/10/2019,235768.354219275
12/10/2019,173014.92217867
13/10/2019,137194.612373259
14/10/2019,200105.439853395
15/10/2019,214398.45841461
16/10/2019,234620.7162171
17/10/2019,207217.554056628
18/10/2019,198614.21529076
19/10/2019,146309.781508489
20/10/2019,127115.42306344
21/10/2019,171805.435831125
22/10/2019,182479.604364675
23/10/2019,239788.599189551
24/10/2019,215697.434247815
25/10/2019,286760.518676085
26/10/2019,445087.894565378
27/10/2019,320039.897030037
28/10/2019,332482.893657135
29/10/2019,313077.23449782
30/10/2019,325657.552920955
31/10/2019,371297.615944411
01/11/2019,257824.36455153
02/11/2019,241157.743836065
03/11/2019,448652.672439049
04/11/2019,409189.59606168
05/11/2019,361228.763443005
06/11/2019,367032.923766871
07/11/2019,366614.287376285
08/11/2019,259400.115939804
09/11/2019,213741.528929005
10/11/2019,259985.212866615
11/11/2019,250157.402188155
12/11/2019,300288.6804147
13/11/2019,258105.987608035
14/11/2019,254521.850697922
15/11/2019,194291.70411461
16/11/2019,179533.54902277
17/11/2019,233181.518608715
18/11/2019,281157.514506039
