Timestamp,estimated-transaction-volume-usd
30/12/2019,854423855.553621
31/12/2019,278141981.965149
01/01/2020,692062815.85965
02/01/2020,1721171458.46213
03/01/2020,623052159.06369
04/01/2020,355303880.322097
05/01/2020,962060777.656326
06/01/2020,1122651351.86172
07/01/2020,1185786689.98009
08/01/2020,1557053628.83293
09/01/2020,1280612805.31253
10/01/2020,512234137.659831
11/01/2020,451843048.807346
12/01/2020,881745942.082351
13/01/2020,2900956206.90936
14/01/2020,2458672964.83804
15/01/2020,1325748763.69605
16/01/2020,1542090152.48638
17/01/2020,691951125.418206
18/01/2020,604108398.922501
19/01/2020,1265736839.76223
20/01/2020,897029394.970128
21/01/2020,1252987750.19963
22/01/2020,1402766346.47978
23/01/2020,983478887.090753
24/01/2020,372513968.74356
25/01/2020,375372746.97924
26/01/2020,810082885.566639
27/01/2020,1052472169.00964
28/01/2020,1212895193.80549
29/01/2020,1703649922.19753
30/01/2020,2215319754.1268
31/01/2020,994556670.98025
01/02/2020,610013826.84455
02/02/2020,3506998581.29517
03/02/2020,980532522.850602
04/02/2020,1182655805.23487
05/02/2020,3323586288.2882
06/02/2020,1803840353.46757
07/02/2020,1443920309.06251
08/02/2020,744577606.607648
09/02/2020,1655558310.37745
10/02/2020,2306736286.50665
11/02/2020,1870288291.39479
12/02/2020,1903943551.24095
13/02/2020,1546031520.68268
14/02/2020,1109593958.57004
15/02/2020,1638768688.21711
16/02/2020,2253057178.21877
17/02/2020,1513418378.62798
18/02/2020,1880304367.67908
19/02/2020,1635169613.46713
20/02/2020,1133722528.69818
21/02/2020,508369260.661711
22/02/2020,737289757.885203
23/02/2020,1060129347.02799
24/02/2020,1088999982.0479
25/02/2020,1306061365.11718
26/02/2020,2025910515.26091
27/02/2020,1789999976.54431
28/02/2020,614926644.926824
29/02/2020,549446378.675048
01/03/2020,1226689506.9734
02/03/2020,1346019714.60831
03/03/2020,1344613313.04405
04/03/2020,1347117308.56223
05/03/2020,1586746058.90616
06/03/2020,714006122.12699
07/03/2020,750461852.241262
08/03/2020,2012070398.88597
09/03/2020,1642231325.0775
10/03/2020,1574744357.10949
11/03/2020,3596290367.00052
12/03/2020,2755019578.84146
13/03/2020,1169201200.62799
14/03/2020,691118819.656607
15/03/2020,1829202302.65315
16/03/2020,1553039642.47712
17/03/2020,1087150158.46778
18/03/2020,1203126598.80139
19/03/2020,2081996655.25232
20/03/2020,647373597.906475
21/03/2020,707671399.167601
22/03/2020,1055238675.13386
23/03/2020,1896290040.77095
24/03/2020,939872246.666284
25/03/2020,982877529.995054
26/03/2020,1213708784.84108
27/03/2020,606386218.694661
28/03/2020,579110788.065739
30/03/2020,1063117757.4694
31/03/2020,1183183832.53956
01/04/2020,861593745.667491
02/04/2020,1112746186.31126
03/04/2020,996027773.773442
04/04/2020,461924504.587505
05/04/2020,446883068.920588
06/04/2020,1903887715.82672
07/04/2020,1534435754.21386
08/04/2020,959560031.91941
09/04/2020,2311484767.99329
10/04/2020,1101942938.40979
11/04/2020,467888135.693746
12/04/2020,408486669.553085
13/04/2020,1124828313.502
14/04/2020,824353875.169474
15/04/2020,1009167505.32317
16/04/2020,1278047926.54404
17/04/2020,1073444827.62685
18/04/2020,519833202.144473
19/04/2020,458165164.115702
20/04/2020,999366645.3129
21/04/2020,1086827836.50855
22/04/2020,950788113.035903
23/04/2020,1287058107.13864
24/04/2020,1901237345.55861
25/04/2020,588383800.374401
26/04/2020,477350119.694664
27/04/2020,1244890678.78536
28/04/2020,1057322602.34099
29/04/2020,3184852305.57904
30/04/2020,2685333576.87795
01/05/2020,1977433108.12039
02/05/2020,650315088.980719
03/05/2020,798356910.646175
04/05/2020,1301213020.58341
05/05/2020,1158788354.57839
06/05/2020,1639157502.58385
07/05/2020,1938783579.01866
08/05/2020,2581331592.43038
09/05/2020,1891310409.07318
10/05/2020,1160570547.66815
11/05/2020,1697952428.5878
12/05/2020,1902634189.74064
13/05/2020,1840743652.80359
14/05/2020,1256024234.83165
15/05/2020,1570409119.92827
16/05/2020,904101584.161914
17/05/2020,554234698.77281
18/05/2020,1522447447.77392
19/05/2020,1324908761.86765
20/05/2020,1698883644.51521
21/05/2020,1827598465.30696
22/05/2020,1309276220.21627
23/05/2020,659872561.67834
24/05/2020,981745455.338841
25/05/2020,2386079966.12279
26/05/2020,1028006698.0951
27/05/2020,1653961345.48304
28/05/2020,1299498648.03744
29/05/2020,1652605318.46225
30/05/2020,726174719.659483
31/05/2020,1560857802.00739
01/06/2020,2405059313.78643
02/06/2020,2689299632.09421
03/06/2020,1367910769.13515
04/06/2020,1754810883.71382
05/06/2020,1798108013.43404
06/06/2020,578237010.345349
07/06/2020,500851759.616004
08/06/2020,1476953360.63616
09/06/2020,1189532513.05837
10/06/2020,1185046064.64972
11/06/2020,2319865799.72096
12/06/2020,1189940932.56761
13/06/2020,576532445.734542
14/06/2020,459031700.888373
15/06/2020,1689895109.32884
16/06/2020,1657379522.9407
17/06/2020,1698265606.83664
18/06/2020,1191197355.42604
19/06/2020,2333210102.27051
20/06/2020,580481419.614336
21/06/2020,536969560.490895
22/06/2020,1369587319.75579
23/06/2020,2158044283.7941
24/06/2020,1668568262.54677
25/06/2020,1809758026.47067
26/06/2020,1982165061.32764
27/06/2020,598209748.027246
28/06/2020,602227413.240989
29/06/2020,1094780887.00755
30/06/2020,964046737.852914
01/07/2020,1468279709.0132
02/07/2020,1329290846.49266
03/07/2020,1162725810.99092
04/07/2020,598371117.138459
05/07/2020,511532010.235418
06/07/2020,1413260028.33242
07/07/2020,1265052644.49911
08/07/2020,1582500913.17443
09/07/2020,1383313673.42838
10/07/2020,1239897769.81168
11/07/2020,576572385.558404
12/07/2020,481367498.713169
13/07/2020,1354265482.01243
14/07/2020,1245429103.12721
15/07/2020,1239461867.82262
16/07/2020,1266988570.14269
17/07/2020,1100985768.81717
18/07/2020,699138625.60008
19/07/2020,635003579.074158
20/07/2020,1056788376.71222
21/07/2020,1326906299.31485
22/07/2020,1606938398.15599
23/07/2020,1733033896.10933
24/07/2020,1581504621.43281
25/07/2020,895321520.430384
26/07/2020,1009262428.00711
27/07/2020,2520983909.08391
28/07/2020,2732598812.18318
29/07/2020,2066537370.29674
30/07/2020,1893559564.52982
31/07/2020,2132382806.80711
01/08/2020,1282524246.37756
02/08/2020,1161811695.51631
03/08/2020,2630857377.15599
04/08/2020,1514661048.79905
05/08/2020,1382305624.12346
06/08/2020,2122100338.58475
07/08/2020,1897594213.63528
08/08/2020,957307311.265865
09/08/2020,819746332.084762
10/08/2020,2038494057.068
11/08/2020,1833511322.68141
12/08/2020,1622537211.16193
13/08/2020,1705063980.69705
14/08/2020,2293744966.95202
15/08/2020,1090367766.0598
16/08/2020,923018319.347379
17/08/2020,2046439654.49524
18/08/2020,2363375056.9934
19/08/2020,1951302613.8825393
20/08/2020,1599895179.606914
21/08/2020,1516606230.5688822
22/08/2020,947590518.3606329
23/08/2020,694626473.0813165
24/08/2020,1349526577.4472823
25/08/2020,1571905464.0375934
26/08/2020,1606738709.2854536
27/08/2020,1582727807.8585138
28/08/2020,2013696414.016841
29/08/2020,936108106.0835737
30/08/2020,1092133417.798481
31/08/2020,2351032934.550586
01/09/2020,2357189690.750896
02/09/2020,2108369094.4854293
