Timestamp,transaction-fees
26/04/2020,20.75041249
27/04/2020,28.0798915
28/04/2020,27.79591192
29/04/2020,51.72660237
30/04/2020,106.67585999
01/05/2020,110.19665812
02/05/2020,68.24207768
03/05/2020,57.28031251
04/05/2020,67.05887239
05/05/2020,71.89874272
06/05/2020,68.53849328
07/05/2020,88.31823092
08/05/2020,104.101785
09/05/2020,87.06031277
10/05/2020,63.27358086
11/05/2020,88.60442418
12/05/2020,109.81191323
13/05/2020,108.86188214
14/05/2020,145.59263376
15/05/2020,161.77900478
16/05/2020,108.31654619
17/05/2020,100.65014834
18/05/2020,163.90960993
19/05/2020,182.34876244
20/05/2020,192.28599464
21/05/2020,201.49979488
22/05/2020,158.63953474
23/05/2020,108.03281588
24/05/2020,73.43623594
25/05/2020,92.3763056
26/05/2020,80.47442225
27/05/2020,77.89905605
28/05/2020,88.34237133
29/05/2020,94.10951218
30/05/2020,68.4324487
31/05/2020,61.02644621
01/06/2020,79.73065264
02/06/2020,97.92708045
03/06/2020,82.16455447
04/06/2020,62.37744471
05/06/2020,55.99573563
06/06/2020,31.92632001
07/06/2020,26.32906276
08/06/2020,41.72247948
09/06/2020,35.1746286
10/06/2020,38.3855245
11/06/2020,38.59236598
12/06/2020,29.91881048
13/06/2020,21.0833426
14/06/2020,16.29688827
15/06/2020,34.18315891
16/06/2020,50.59742513
17/06/2020,47.79264099
18/06/2020,44.77971256
19/06/2020,49.57769703
20/06/2020,30.01002493
21/06/2020,24.97941736
22/06/2020,36.15947427
23/06/2020,45.81049682
24/06/2020,42.3573449
25/06/2020,40.08334016
26/06/2020,34.04227231
27/06/2020,23.40413949
28/06/2020,19.69907106
29/06/2020,33.39475024
30/06/2020,42.97241908
01/07/2020,62.82571084
02/07/2020,56.01403666
03/07/2020,53.7862554100001
04/07/2020,31.87048128
05/07/2020,25.1095593
06/07/2020,36.90829526
07/07/2020,40.72918894
08/07/2020,47.68607406
09/07/2020,55.08128328
10/07/2020,48.41811415
11/07/2020,32.6994024
12/07/2020,24.5852307
13/07/2020,40.91827816
14/07/2020,62.95443097
15/07/2020,64.32008944
16/07/2020,78.15856789
17/07/2020,77.30576136
18/07/2020,76.31263773
19/07/2020,45.96803343
20/07/2020,78.58857188
21/07/2020,102.28349837
22/07/2020,143.27483781
23/07/2020,135.00696882
24/07/2020,124.38037589
25/07/2020,89.04999864
26/07/2020,76.48811017
27/07/2020,121.12370183
28/07/2020,187.57139032
29/07/2020,174.64034253
30/07/2020,179.95866069
31/07/2020,171.64760126
01/08/2020,128.24563386
02/08/2020,106.63995761
03/08/2020,130.16320882
04/08/2020,111.40338573
05/08/2020,136.17255821
06/08/2020,196.22049311
07/08/2020,137.20910291
08/08/2020,78.94533308
09/08/2020,62.66871355
10/08/2020,133.6661337
11/08/2020,151.68404592
12/08/2020,125.0328247
13/08/2020,109.0639238
14/08/2020,106.55290555
15/08/2020,67.51446166
16/08/2020,60.46191905
17/08/2020,81.70844023
18/08/2020,158.12712801
19/08/2020,147.58221747
20/08/2020,130.64720271
21/08/2020,136.10850768
22/08/2020,93.50701843
23/08/2020,59.10621225
24/08/2020,78.44959878
25/08/2020,90.01229804
26/08/2020,108.47218762
27/08/2020,122.89984729
28/08/2020,103.33520898
29/08/2020,65.8524762199999
30/08/2020,64.1053584699999
31/08/2020,91.5378335
01/09/2020,125.935494089999
02/09/2020,127.524555089999
03/09/2020,134.31577789
04/09/2020,155.46345969
05/09/2020,119.88963774
06/09/2020,70.7371794
07/09/2020,96.71790986
08/09/2020,84.0618525699999
09/09/2020,89.1958001099999
10/09/2020,110.38966361
11/09/2020,95.16710292
12/09/2020,58.1157552899999
13/09/2020,49.08137942
14/09/2020,75.47210429
15/09/2020,77.13367663
16/09/2020,77.67308339
17/09/2020,70.9505748699999
18/09/2020,69.4104070699999
19/09/2020,47.55137105
20/09/2020,33.00982992
21/09/2020,61.30821173
22/09/2020,74.1725050499999
23/09/2020,96.11641422
24/09/2020,82.50485829
25/09/2020,77.16010813
26/09/2020,41.5723566999999
27/09/2020,37.5851607899999
28/09/2020,56.7292370299999
29/09/2020,82.9749103999999
30/09/2020,95.01594655
01/10/2020,102.031928689999
02/10/2020,122.51219145
03/10/2020,71.9061945799999
04/10/2020,55.83182413
05/10/2020,98.28262979
06/10/2020,113.311398799999
07/10/2020,111.17330476
08/10/2020,103.139640179999
09/10/2020,110.783932859999
10/10/2020,75.8498966499999
11/10/2020,51.2299918
12/10/2020,74.84694551
13/10/2020,74.0742708399999
14/10/2020,73.0492024999999
15/10/2020,78.2780830499999
16/10/2020,64.1446030599999
17/10/2020,35.43446587
18/10/2020,36.4509717499999
19/10/2020,50.5686316
20/10/2020,76.7422096999999
21/10/2020,116.643093489999
22/10/2020,166.97812487
23/10/2020,144.01814194
24/10/2020,93.84222181
25/10/2020,65.2647025
26/10/2020,192.235204669999
27/10/2020,226.66214815
28/10/2020,259.231732589999
29/10/2020,262.34694254
30/10/2020,264.03799985
31/10/2020,177.84284836
01/11/2020,209.468588309999
02/11/2020,289.309989559999
03/11/2020,205.032541489999
04/11/2020,260.444400409999
05/11/2020,239.93433418
06/11/2020,135.23436243
07/11/2020,95.6906181699999
08/11/2020,142.15849695
09/11/2020,154.837325499999
10/11/2020,107.57878081
11/11/2020,102.85022306
12/11/2020,100.5666202
13/11/2020,59.1555812899999
14/11/2020,42.4333545999999
15/11/2020,83.4577055499999
16/11/2020,90.54129648
17/11/2020,97.63868616
18/11/2020,94.51871958
19/11/2020,76.3498895
20/11/2020,46.90621911
21/11/2020,32.02458461
22/11/2020,56.54584603
23/11/2020,86.28199286
24/11/2020,98.62265001
25/11/2020,103.833573969999
26/11/2020,84.21494944
27/11/2020,56.8202802499999
28/11/2020,39.86594809
29/11/2020,72.3178285899999
30/11/2020,145.308382849999
01/12/2020,131.456757359999
02/12/2020,145.78926977
03/12/2020,108.774160449999
04/12/2020,69.64763484
05/12/2020,48.40641585
06/12/2020,68.4605077499999
07/12/2020,72.1904821199999
08/12/2020,72.45729357
09/12/2020,72.8328689399999
10/12/2020,70.4962997199999
11/12/2020,50.58835913
12/12/2020,39.24154715
13/12/2020,59.2358478
14/12/2020,70.05172631
15/12/2020,79.9044725
16/12/2020,162.99271891
17/12/2020,195.47135264
18/12/2020,119.96753977
19/12/2020,73.5149194
20/12/2020,138.562692219999
21/12/2020,133.02681427
22/12/2020,143.04461152
23/12/2020,106.42944422
24/12/2020,92.4849457699999
25/12/2020,69.6432274099999
26/12/2020,91.9932967799999
27/12/2020,99.54006659
28/12/2020,105.852910429999
29/12/2020,105.14390344
30/12/2020,113.57123643
31/12/2020,48.9427013999999
01/01/2021,79.6990672199999
02/01/2021,86.4199935199999
03/01/2021,108.705036249999
04/01/2021,113.36586749
05/01/2021,128.51898515
06/01/2021,121.91274523
07/01/2021,135.47417648
08/01/2021,110.561251529999
09/01/2021,91.95258523
10/01/2021,134.426533099999
11/01/2021,164.92133634
12/01/2021,136.57891971
13/01/2021,141.412827659999
14/01/2021,147.17314406
15/01/2021,88.49193579
16/01/2021,66.3108796
17/01/2021,84.66625216
18/01/2021,97.54256535
19/01/2021,93.48057077
20/01/2021,120.183819589999
21/01/2021,116.02452285
22/01/2021,75.3610978299999
23/01/2021,57.5560403999999
24/01/2021,100.68549632
25/01/2021,81.7624206099999
26/01/2021,83.09629503
27/01/2021,85.9002179099999
28/01/2021,167.425705669999
29/01/2021,138.4634188
30/01/2021,100.53987916
31/01/2021,129.39809219
01/02/2021,146.91963222
02/02/2021,134.24070735
03/02/2021,166.88621843
04/02/2021,143.84104968
05/02/2021,118.302992229999
06/02/2021,84.69085027
07/02/2021,134.17229408
08/02/2021,196.39438398
09/02/2021,168.163279389999
10/02/2021,185.349159749999
11/02/2021,202.399531659999
12/02/2021,144.37461607
13/02/2021,106.03576761
14/02/2021,121.55584341
15/02/2021,120.02466217
16/02/2021,141.623272069999
17/02/2021,147.75229392
18/02/2021,160.805752799999
19/02/2021,147.82061349
20/02/2021,115.10198626
21/02/2021,131.788578349999
22/02/2021,183.302184169999
23/02/2021,189.53161494
24/02/2021,152.527332959999
25/02/2021,148.87842397
26/02/2021,104.30956316
27/02/2021,82.99643575
28/02/2021,121.83630841
01/03/2021,132.76436336
02/03/2021,132.697835969999
03/03/2021,112.957430169999
04/03/2021,114.363913869999
05/03/2021,77.9030970699999
06/03/2021,71.23039113
07/03/2021,90.54725683
08/03/2021,105.137131119999
09/03/2021,110.264730409999
10/03/2021,111.07819319
11/03/2021,117.22083707
12/03/2021,116.895881029999
13/03/2021,88.42522684
14/03/2021,112.98540384
15/03/2021,110.36520932
16/03/2021,105.8511926
17/03/2021,137.228570089999
18/03/2021,116.3394505
19/03/2021,83.6608449799999
20/03/2021,60.9061318299999
21/03/2021,85.0231841
22/03/2021,81.3306381799999
23/03/2021,82.4507982299999
24/03/2021,84.22598289
25/03/2021,81.2414921199999
26/03/2021,66.63131525
27/03/2021,58.0016198999999
29/03/2021,80.75259219
30/03/2021,96.60277671
31/03/2021,102.461343129999
01/04/2021,89.99745266
02/04/2021,89.4083177699999
03/04/2021,83.93886825
04/04/2021,67.1963015
05/04/2021,94.4570655
06/04/2021,106.4140201
07/04/2021,101.050420319999
08/04/2021,91.57954065
09/04/2021,116.38720157
10/04/2021,89.9879730099999
11/04/2021,62.98652347
12/04/2021,91.7726773299999
13/04/2021,101.8297542
14/04/2021,136.184935
15/04/2021,155.28823581
16/04/2021,140.32071554
17/04/2021,163.57372065
18/04/2021,214.730004
19/04/2021,215.81663228
20/04/2021,301.828227469999
21/04/2021,255.767796869999
22/04/2021,299.48661393
23/04/2021,269.68675317
24/04/2021,168.400895349999
25/04/2021,116.287342789999
26/04/2021,167.75160734
27/04/2021,162.30784332
28/04/2021,135.939107639999
29/04/2021,144.83508448
30/04/2021,143.19592537
01/05/2021,102.116868699999
02/05/2021,84.9603757
03/05/2021,110.91693739
04/05/2021,99.39665193
05/05/2021,99.91162799
06/05/2021,109.520514839999
07/05/2021,104.36786384
08/05/2021,87.22137317
09/05/2021,70.0288271
10/05/2021,101.017114339999
11/05/2021,81.79323145
12/05/2021,76.98423673
13/05/2021,71.8717198599999
14/05/2021,73.24686827
15/05/2021,62.45768819
16/05/2021,52.09414413
17/05/2021,76.18906998
18/05/2021,67.1648736499999
19/05/2021,122.724682889999
20/05/2021,132.47635443
21/05/2021,131.0112292
22/05/2021,102.38136843
23/05/2021,81.40676948
24/05/2021,96.80194258
25/05/2021,85.8181312599999
26/05/2021,77.84665827
27/05/2021,66.11477022
28/05/2021,69.53506793
29/05/2021,47.41632429
30/05/2021,36.6145254199999
31/05/2021,45.48679202
01/06/2021,47.27613502
02/06/2021,51.1330967399999
03/06/2021,49.8806148399999
04/06/2021,42.3413646399999
05/06/2021,29.64085417
06/06/2021,22.5789259
07/06/2021,34.55627144
08/06/2021,35.2472200799999
09/06/2021,33.33885199
10/06/2021,46.37133257
11/06/2021,40.7074720899999
12/06/2021,35.49080844
13/06/2021,23.2119764599999
14/06/2021,37.66128109
15/06/2021,38.7424365499999
16/06/2021,39.0776493
17/06/2021,31.3679645799999
18/06/2021,31.06591451
19/06/2021,24.63339795
20/06/2021,22.72141975
21/06/2021,40.2673155099999
22/06/2021,47.79616557
23/06/2021,56.04309666
24/06/2021,48.0145835199999
25/06/2021,44.14298414
26/06/2021,29.4135319
27/06/2021,27.10280616
28/06/2021,52.7135474199999
29/06/2021,53.15086695
30/06/2021,62.3588484499999
01/07/2021,72.52897938
02/07/2021,61.9630790999999
03/07/2021,59.20251271
04/07/2021,43.43064993
05/07/2021,47.54560696
06/07/2021,47.07445328
07/07/2021,37.8481268299999
08/07/2021,29.27798416
09/07/2021,26.8770490699999
10/07/2021,19.19544869
11/07/2021,18.5370763999999
12/07/2021,28.72108231
13/07/2021,31.7320524999999
14/07/2021,24.91340774
15/07/2021,22.72069488
16/07/2021,17.28933765
17/07/2021,12.6117089399999
18/07/2021,12.0631432999999
19/07/2021,18.9984186
20/07/2021,17.82299408
21/07/2021,14.46176666
22/07/2021,14.21047745
23/07/2021,19.3205970799999
24/07/2021,12.8169397299999
25/07/2021,9.73352572999999
26/07/2021,18.28040045
27/07/2021,16.07380881
28/07/2021,15.5488858799999
29/07/2021,14.9950556
30/07/2021,14.57271913
31/07/2021,11.2248187
01/08/2021,9.61282095
02/08/2021,13.48151599
03/08/2021,12.7965562899999
04/08/2021,15.07145299
05/08/2021,14.89044705
06/08/2021,14.22965964
07/08/2021,10.38935962
08/08/2021,9.83721558999999
09/08/2021,13.5360983299999
10/08/2021,13.95760508
11/08/2021,13.26366228
12/08/2021,12.84363469
13/08/2021,23.5797361799999
14/08/2021,10.89573864
15/08/2021,9.72888011
16/08/2021,16.33277114
17/08/2021,15.6518772199999
18/08/2021,15.41159123
19/08/2021,12.9090550299999
20/08/2021,15.7467914599999
21/08/2021,11.42035586
22/08/2021,11.6261827499999
23/08/2021,14.33684909
24/08/2021,15.0032733399999
25/08/2021,12.8565172199999
