Timestamp,cost-per-transaction
03/11/2019,51.1410223205603
04/11/2019,52.3194888281144
05/11/2019,50.109660733284
06/11/2019,49.2190917838089
07/11/2019,47.4003359781669
08/11/2019,52.623101472921
09/11/2019,62.5177134399388
10/11/2019,51.6711387049149
11/11/2019,49.7348295591248
12/11/2019,47.2420634605174
13/11/2019,52.8362276962086
14/11/2019,52.9858581574861
15/11/2019,55.9653266122265
16/11/2019,62.7245046677867
17/11/2019,49.1132451680952
18/11/2019,46.6587908046475
19/11/2019,45.4020079764546
20/11/2019,42.3386065467349
21/11/2019,39.7198346975416
22/11/2019,51.6732027041905
23/11/2019,44.2566521666448
24/11/2019,39.3016544806619
25/11/2019,34.7550669694361
26/11/2019,40.4568918848291
27/11/2019,50.7822655372359
28/11/2019,43.463953657116
29/11/2019,44.2660891745267
