Timestamp,n-transactions
10/06/2021,252983
11/06/2021,216502
12/06/2021,222774
13/06/2021,187098
14/06/2021,242416
15/06/2021,241861
16/06/2021,252937
17/06/2021,237725
18/06/2021,222918
19/06/2021,187042
20/06/2021,167249
21/06/2021,205050
22/06/2021,196523
23/06/2021,232704
24/06/2021,233278
25/06/2021,218245
26/06/2021,181628
27/06/2021,124640
28/06/2021,217898
29/06/2021,205616
30/06/2021,218734
01/07/2021,230253
02/07/2021,188568
03/07/2021,237463
04/07/2021,171850
05/07/2021,223760
06/07/2021,228279
07/07/2021,221227
08/07/2021,230719
09/07/2021,227511
10/07/2021,187263
11/07/2021,166144
12/07/2021,220269
13/07/2021,229916
14/07/2021,236217
15/07/2021,226234
16/07/2021,223466
17/07/2021,182047
18/07/2021,161122
19/07/2021,226803
20/07/2021,230509
21/07/2021,235680
22/07/2021,230282
23/07/2021,231130
24/07/2021,198091
25/07/2021,174535
26/07/2021,261950
27/07/2021,255221
28/07/2021,251223
29/07/2021,262612
30/07/2021,255417
31/07/2021,207348
01/08/2021,185157
02/08/2021,239277
03/08/2021,246198
04/08/2021,239596
05/08/2021,246175
06/08/2021,260810
07/08/2021,212229
08/08/2021,191623
09/08/2021,252660
10/08/2021,260968
11/08/2021,262437
12/08/2021,250961
13/08/2021,260624
14/08/2021,209074
15/08/2021,186239
16/08/2021,263529
17/08/2021,257766
18/08/2021,247333
19/08/2021,253447
20/08/2021,271837
21/08/2021,219407
22/08/2021,190631
23/08/2021,270736
24/08/2021,263984
25/08/2021,263009
26/08/2021,258590
27/08/2021,256813
28/08/2021,218268
29/08/2021,191650
30/08/2021,250955
31/08/2021,271163
01/09/2021,280865
02/09/2021,289900
03/09/2021,283991
04/09/2021,227732
05/09/2021,205066
06/09/2021,268877
07/09/2021,276624
08/09/2021,270483
09/09/2021,274384
10/09/2021,261371
11/09/2021,218445
12/09/2021,192691
13/09/2021,255970
14/09/2021,268127
15/09/2021,268957
16/09/2021,271223
17/09/2021,271040
18/09/2021,227661
19/09/2021,200516
20/09/2021,270233
21/09/2021,244568
22/09/2021,275235
23/09/2021,268689
24/09/2021,277565
25/09/2021,212575
26/09/2021,195560
