Timestamp,n-transactions-excluding-popular
31/01/2021,277113
01/02/2021,360694
02/02/2021,340465
03/02/2021,363365
04/02/2021,356357
05/02/2021,329904
06/02/2021,282370
07/02/2021,330967
08/02/2021,355425
09/02/2021,336340
10/02/2021,301258
11/02/2021,339751
12/02/2021,332944
13/02/2021,294651
14/02/2021,304662
15/02/2021,292705
16/02/2021,313722
17/02/2021,313073
18/02/2021,336543
19/02/2021,315342
20/02/2021,267378
21/02/2021,281144
22/02/2021,283260
23/02/2021,353431
24/02/2021,321718
25/02/2021,302463
26/02/2021,316462
27/02/2021,250582
28/02/2021,276425
01/03/2021,334067
02/03/2021,329200
03/03/2021,285778
04/03/2021,313922
05/03/2021,284644
06/03/2021,257253
07/03/2021,288009
08/03/2021,295471
09/03/2021,340473
10/03/2021,287084
11/03/2021,316520
12/03/2021,273024
13/03/2021,303740
14/03/2021,287520
15/03/2021,314847
16/03/2021,291717
17/03/2021,326889
18/03/2021,311444
19/03/2021,282897
20/03/2021,231254
21/03/2021,292810
22/03/2021,310712
23/03/2021,300724
24/03/2021,314233
25/03/2021,289918
26/03/2021,284638
27/03/2021,244003
29/03/2021,299609
30/03/2021,316536
31/03/2021,328384
01/04/2021,308161
02/04/2021,301445
03/04/2021,277132
04/04/2021,242207
05/04/2021,284512
06/04/2021,305746
07/04/2021,316227
08/04/2021,274868
09/04/2021,319653
10/04/2021,293751
11/04/2021,249489
12/04/2021,286658
13/04/2021,305895
14/04/2021,293300
15/04/2021,354682
16/04/2021,216336
17/04/2021,191272
18/04/2021,267783
19/04/2021,203637
20/04/2021,275973
21/04/2021,222490
22/04/2021,269592
23/04/2021,290057
24/04/2021,285889
25/04/2021,236534
26/04/2021,236860
27/04/2021,293396
28/04/2021,271992
29/04/2021,255439
30/04/2021,286158
01/05/2021,259751
02/05/2021,231999
03/05/2021,283209
04/05/2021,296672
05/05/2021,305591
06/05/2021,306884
07/05/2021,303225
08/05/2021,271447
09/05/2021,245062
10/05/2021,299822
11/05/2021,308615
12/05/2021,297062
13/05/2021,273021
14/05/2021,262913
15/05/2021,229452
16/05/2021,216916
17/05/2021,242095
18/05/2021,217971
19/05/2021,259812
20/05/2021,224276
21/05/2021,223241
22/05/2021,220859
23/05/2021,191590
24/05/2021,231931
25/05/2021,231017
26/05/2021,228110
27/05/2021,211686
28/05/2021,215764
29/05/2021,196259
30/05/2021,176688
31/05/2021,221775
01/06/2021,232277
02/06/2021,247186
03/06/2021,253294
04/06/2021,233496
05/06/2021,192515
06/06/2021,183530
07/06/2021,233258
08/06/2021,244362
09/06/2021,208976
10/06/2021,249508
11/06/2021,214427
12/06/2021,219663
13/06/2021,185175
14/06/2021,240108
15/06/2021,239231
16/06/2021,250605
17/06/2021,235240
18/06/2021,220657
19/06/2021,185155
20/06/2021,164157
21/06/2021,201981
22/06/2021,194124
23/06/2021,230121
24/06/2021,230015
25/06/2021,216038
26/06/2021,176962
27/06/2021,123013
28/06/2021,215729
29/06/2021,203514
30/06/2021,216631
01/07/2021,228170
02/07/2021,186555
03/07/2021,235573
04/07/2021,170036
05/07/2021,213263
06/07/2021,225563
07/07/2021,219134
08/07/2021,228702
09/07/2021,225529
10/07/2021,185409
11/07/2021,164576
12/07/2021,218257
13/07/2021,227833
14/07/2021,234260
15/07/2021,224238
16/07/2021,221571
17/07/2021,180307
18/07/2021,159446
19/07/2021,224790
20/07/2021,228350
21/07/2021,233534
22/07/2021,228177
23/07/2021,229184
24/07/2021,196192
25/07/2021,172776
26/07/2021,259735
27/07/2021,252933
28/07/2021,249149
29/07/2021,260636
30/07/2021,253470
31/07/2021,205530
01/08/2021,184177
02/08/2021,237419
03/08/2021,244307
04/08/2021,237740
05/08/2021,244107
06/08/2021,258818
07/08/2021,210241
08/08/2021,189787
09/08/2021,250704
10/08/2021,258838
11/08/2021,260395
12/08/2021,248876
13/08/2021,258717
14/08/2021,207121
15/08/2021,184510
16/08/2021,261282
17/08/2021,255695
18/08/2021,245237
19/08/2021,251333
20/08/2021,269756
21/08/2021,217132
22/08/2021,188986
23/08/2021,268563
24/08/2021,261947
25/08/2021,260944
26/08/2021,256501
27/08/2021,254858
28/08/2021,216492
29/08/2021,190073
30/08/2021,249119
31/08/2021,268982
01/09/2021,278429
02/09/2021,287463
03/09/2021,281551
04/09/2021,225817
05/09/2021,203199
06/09/2021,266706
07/09/2021,274230
08/09/2021,268147
09/09/2021,272268
10/09/2021,259309
11/09/2021,216557
12/09/2021,191036
13/09/2021,253978
14/09/2021,266169
15/09/2021,266921
16/09/2021,269128
17/09/2021,268859
18/09/2021,225807
19/09/2021,198822
20/09/2021,268004
21/09/2021,242520
22/09/2021,273042
23/09/2021,266610
24/09/2021,275358
25/09/2021,210776
26/09/2021,193656
27/09/2021,253851
28/09/2021,260413
29/09/2021,240043
30/09/2021,290790
01/10/2021,275053
02/10/2021,257855
03/10/2021,216304
04/10/2021,267265
05/10/2021,310372
06/10/2021,265891
07/10/2021,323317
08/10/2021,277752
09/10/2021,244271
10/10/2021,209758
11/10/2021,278064
12/10/2021,271990
13/10/2021,286917
14/10/2021,280285
15/10/2021,295415
16/10/2021,267858
17/10/2021,214110
18/10/2021,283337
19/10/2021,309762
20/10/2021,289732
21/10/2021,318167
22/10/2021,285405
23/10/2021,222200
24/10/2021,209470
25/10/2021,282545
26/10/2021,291891
27/10/2021,289908
28/10/2021,293275
29/10/2021,303529
30/10/2021,250069
31/10/2021,215575
01/11/2021,295201
02/11/2021,286655
03/11/2021,286926
04/11/2021,283855
05/11/2021,234381
06/11/2021,224325
07/11/2021,283940
08/11/2021,332698
09/11/2021,298827
10/11/2021,291462
11/11/2021,280084
12/11/2021,236913
13/11/2021,222389
14/11/2021,286413
15/11/2021,298872
16/11/2021,289004
17/11/2021,292929
18/11/2021,284006
19/11/2021,248769
20/11/2021,221938
21/11/2021,278061
22/11/2021,282255
23/11/2021,297809
24/11/2021,286528
25/11/2021,291874
26/11/2021,240082
27/11/2021,213117
28/11/2021,300557
29/11/2021,293121
30/11/2021,287704
01/12/2021,312397
02/12/2021,289398
03/12/2021,252919
04/12/2021,214332
05/12/2021,282898
06/12/2021,286482
07/12/2021,264598
08/12/2021,280932
09/12/2021,269781
10/12/2021,224288
11/12/2021,212798
12/12/2021,276455
13/12/2021,276766
14/12/2021,280119
15/12/2021,255588
16/12/2021,262858
17/12/2021,238573
18/12/2021,206166
19/12/2021,266317
20/12/2021,304094
21/12/2021,287888
22/12/2021,291172
23/12/2021,259983
24/12/2021,207218
25/12/2021,198037
26/12/2021,248936
27/12/2021,264818
28/12/2021,275371
29/12/2021,244381
30/12/2021,268833
31/12/2021,186330
01/01/2022,196370
02/01/2022,234213
03/01/2022,272070
04/01/2022,271567
05/01/2022,264203
06/01/2022,254736
07/01/2022,223415
08/01/2022,209654
09/01/2022,266175
10/01/2022,277093
11/01/2022,271354
12/01/2022,273914
13/01/2022,270325
14/01/2022,233864
15/01/2022,215659
16/01/2022,257586
17/01/2022,264487
18/01/2022,269748
19/01/2022,270708
20/01/2022,271732
21/01/2022,249695
22/01/2022,203533
23/01/2022,270131
24/01/2022,264566
25/01/2022,260530
26/01/2022,255377
27/01/2022,264089
28/01/2022,230555
29/01/2022,206705
30/01/2022,262856
31/01/2022,272393
01/02/2022,278440
02/02/2022,264851
03/02/2022,247425
04/02/2022,258182
05/02/2022,218665
06/02/2022,261503
07/02/2022,276286
08/02/2022,265268
09/02/2022,260274
10/02/2022,258118
11/02/2022,227701
12/02/2022,208533
13/02/2022,247032
14/02/2022,273104
15/02/2022,266285
16/02/2022,255056
17/02/2022,260521
18/02/2022,220209
19/02/2022,200102
20/02/2022,236909
21/02/2022,259744
22/02/2022,250760
23/02/2022,253532
24/02/2022,259798
25/02/2022,219930
26/02/2022,210597
27/02/2022,270253
28/02/2022,279982
01/03/2022,288059
02/03/2022,267666
03/03/2022,261532
04/03/2022,224789
05/03/2022,206628
06/03/2022,254859
07/03/2022,255192
08/03/2022,272306
09/03/2022,260961
10/03/2022,251877
11/03/2022,224656
12/03/2022,207613
13/03/2022,259056
14/03/2022,262655
15/03/2022,275886
16/03/2022,278306
17/03/2022,260803
18/03/2022,241944
19/03/2022,210147
20/03/2022,259443
21/03/2022,264084
22/03/2022,263691
23/03/2022,262472
24/03/2022,290168
25/03/2022,230573
26/03/2022,217754
28/03/2022,292765
29/03/2022,286259
30/03/2022,272391
31/03/2022,278674
01/04/2022,283521
02/04/2022,253859
03/04/2022,225087
04/04/2022,274586
05/04/2022,272876
06/04/2022,273047
07/04/2022,268828
08/04/2022,266232
09/04/2022,232300
10/04/2022,215967
11/04/2022,276066
12/04/2022,278318
13/04/2022,276453
14/04/2022,265052
15/04/2022,254422
16/04/2022,225108
17/04/2022,206957
18/04/2022,245949
19/04/2022,272681
20/04/2022,285160
21/04/2022,281920
22/04/2022,260497
23/04/2022,234583
24/04/2022,221572
25/04/2022,276905
26/04/2022,272835
27/04/2022,286596
28/04/2022,275314
29/04/2022,286098
