Timestamp,estimated-transaction-volume
26-09-2019,159500.3579599
27-09-2019,144218.25346733
28-09-2019,71069.8617817
29-09-2019,57209.93689166
30-09-2019,127661.03046537
01-10-2019,128788.34560116
02-10-2019,91372.94712638
03-10-2019,114648.67944153
04-10-2019,90078.77442701
05-10-2019,46309.16646668
06-10-2019,54971.26281243
07-10-2019,106610.33485118
08-10-2019,115940.06809032
09-10-2019,127323.00149506
10-10-2019,124093.63300066
11-10-2019,112113.5112481
12-10-2019,52097.22851634
13-10-2019,42862.95204993
14-10-2019,206989.97978652
15-10-2019,113361.47403157
16-10-2019,117657.52086152
17-10-2019,156710.83088989
18-10-2019,131496.99590386
19-10-2019,49356.82406748
20-10-2019,41820.66827601
21-10-2019,115474.92732575
22-10-2019,121364.44195336
23-10-2019,168686.5627367
24-10-2019,132153.29473176
25-10-2019,166567.01339027
26-10-2019,133866.29826938
27-10-2019,76527.76960216
28-10-2019,123490.89324901
29-10-2019,101612.73037051
30-10-2019,171270.8628967
31-10-2019,226201.69051053
01-11-2019,79336.74523666
02-11-2019,85660.1188983599
03-11-2019,144089.15854624
04-11-2019,296858.88677609
05-11-2019,154859.77183922
06-11-2019,152471.28377145
07-11-2019,162088.65329925
08-11-2019,118708.85108578
09-11-2019,40975.991728
10-11-2019,81787.8559671401
11-11-2019,99092.20185613
12-11-2019,169820.88852254
13-11-2019,109449.82627208
14-11-2019,140223.79030358
15-11-2019,54541.05914009
16-11-2019,40224.20218022
17-11-2019,124758.52049023
18-11-2019,113824.573069
19-11-2019,107526.52185825
20-11-2019,149429.45673503
21-11-2019,233051.32072927
22-11-2019,159423.02874143
23-11-2019,76337.47818228
24-11-2019,189626.3047531
25-11-2019,165424.52141393
26-11-2019,210101.21294546
27-11-2019,102341.42368838
28-11-2019,140961.63628341
29-11-2019,90740.9361248
30-11-2019,55712.18236208
01-12-2019,123662.96283579
02-12-2019,150333.41646956
03-12-2019,201360.82923784
04-12-2019,113328.87037195
05-12-2019,166833.59060654
06-12-2019,111993.0749512
07-12-2019,41030.26722398
08-12-2019,132096.01481823
09-12-2019,165470.14683486
10-12-2019,133289.60254177
11-12-2019,175621.17700759
12-12-2019,126104.70553378
13-12-2019,63571.88399144
14-12-2019,46749.15034364
15-12-2019,125281.71507989
16-12-2019,251807.08287984
17-12-2019,240041.71634996
18-12-2019,165854.05325802
19-12-2019,166611.62514327
20-12-2019,67721.75703059
21-12-2019,56486.59110175
22-12-2019,152654.86458667
23-12-2019,105404.34744226
24-12-2019,119669.63620597
25-12-2019,108613.41116734
26-12-2019,117903.8262163
27-12-2019,65887.9557732
28-12-2019,51871.88810028
29-12-2019,131283.54731356
30-12-2019,118692.27692215
31-12-2019,38648.24679086
01-01-2020,98003.465802
02-01-2020,236599.38690371
03-01-2020,85109.87776538
04-01-2020,47803.86397373
05-01-2020,127638.22034273
06-01-2020,141873.73420881
07-01-2020,144356.99418374
08-01-2020,197513.24779745
09-01-2020,162847.24910828
10-01-2020,63061.48057476
11-01-2020,55680.89579774
12-01-2020,108793.80403332
13-01-2020,335665.94334151
14-01-2020,280822.13175005
15-01-2020,152626.97650804
16-01-2020,173664.39846012
17-01-2020,77864.56200069
18-01-2020,68120.97656105
19-01-2020,146372.36081798
20-01-2020,103774.67254467
21-01-2020,144608.58591928
22-01-2020,165824.99086889
23-01-2020,116895.23020499
24-01-2020,44807.6710861
25-01-2020,44461.50905508
26-01-2020,92546.4494980701
27-01-2020,116541.5660229
28-01-2020,129782.17136393
29-01-2020,181443.87730608
30-01-2020,237347.73978322
31-01-2020,105828.35283966
01-02-2020,65038.56846687
02-02-2020,376635.80029822
03-02-2020,106601.43838245
04-02-2020,125158.09557864
05-02-2020,343051.53339826
06-02-2020,184460.94895744
07-02-2020,147390.86284239
08-02-2020,73754.50444352
09-02-2020,167002.23945628
10-02-2020,231748.72092039
11-02-2020,180717.5699263
12-02-2020,184803.97834328
13-02-2020,150686.40615281
14-02-2020,108897.55133657
15-02-2020,164576.72659467
16-02-2020,230188.81836198
17-02-2020,153624.29060613
18-02-2020,185797.30231446
19-02-2020,170588.4242693
20-02-2020,116885.16019362
21-02-2020,52610.87379341
22-02-2020,74613.19616453
23-02-2020,108908.5764442
24-02-2020,114823.40121733
25-02-2020,144920.93813653
26-02-2020,230954.56873809
27-02-2020,205516.10401421
28-02-2020,70693.36063125
29-02-2020,64151.94497077
01-03-2020,139816.94722347
02-03-2020,153057.16598448
03-03-2020,153557.84425103
04-03-2020,149523.32931023
05-03-2020,174643.04681735
06-03-2020,78571.6903904
07-03-2020,87962.35982647
08-03-2020,255326.36339724
09-03-2020,206714.51548543
10-03-2020,201092.54873732
11-03-2020,562532.03844696
12-03-2020,548284.15281585
13-03-2020,214808.18146319
14-03-2020,130733.34931246
15-03-2020,369120.30596643
16-03-2020,293279.42219886
17-03-2020,206422.87703623
18-03-2020,208717.92457162
19-03-2020,326327.6586704
20-03-2020,104842.63233758
21-03-2020,116149.63921555
22-03-2020,171254.76124635
23-03-2020,285682.76921379
24-03-2020,141313.27945988
25-03-2020,147571.32200352
26-03-2020,181775.21569903
27-03-2020,97521.3631953
28-03-2020,94781.20513492
30-03-2020,169545.63568834
31-03-2020,183387.61589389
01-04-2020,137069.09191477
02-04-2020,165119.81613005
03-04-2020,146105.13705116
04-04-2020,68341.02361361
05-04-2020,65792.84869851
06-04-2020,269773.30765529
07-04-2020,209308.56775407
08-04-2020,131533.4224242
09-04-2020,316026.55465864
10-04-2020,158397.15553843
11-04-2020,68136.03344977
12-04-2020,58780.75101332
13-04-2020,166833.78406975
14-04-2020,119879.01847391
15-04-2020,148529.93386735
16-04-2020,183664.85403477
