Timestamp,output-volume;
31/10/2019,1253351.67495788;
01/11/2019,845904.131541826;
02/11/2019,827166.372659752;
03/11/2019,949576.10641267;
04/11/2019,1161345.32878865;
05/11/2019,1409366.37888414;
06/11/2019,1374073.7597232;
07/11/2019,1333670.62974223;
08/11/2019,1048033.15307825;
09/11/2019,685311.161110266;
10/11/2019,797236.585528915;
11/11/2019,1019903.11744936;
12/11/2019,1331117.80907882;
13/11/2019,1216940.16732074;
14/11/2019,1280489.90300323;
15/11/2019,695082.440087727;
16/11/2019,632131.464984699;
17/11/2019,1330677.31241682;
18/11/2019,956827.203341185;
19/11/2019,800559.908126409;
20/11/2019,1616533.40835477;
21/11/2019,1573304.8749851;
22/11/2019,1010840.18924162;
23/11/2019,824423.434529546;
24/11/2019,1316525.8036636;
25/11/2019,1172810.16045225;
26/11/2019,1014562.11767074;
27/11/2019,764888.006758807;
28/11/2019,991528.113663892;
29/11/2019,750855.209857113;
30/11/2019,680284.709231954;
01/12/2019,865728.87978467;
02/12/2019,854602.911802966;
03/12/2019,2329577.92166183;
04/12/2019,898001.057487505;
05/12/2019,2288980.71377945;
06/12/2019,957054.855731875;
07/12/2019,731180.603252509;
08/12/2019,1190356.7997295;
09/12/2019,1148974.68743132;
10/12/2019,1207960.67269245;
11/12/2019,835730.081436612;
12/12/2019,720319.254325102;
13/12/2019,730482.960950935;
14/12/2019,650460.969850616;
15/12/2019,767656.100771835;
16/12/2019,1777401.2009867;
17/12/2019,1164742.9247833;
18/12/2019,1004379.59851356;
19/12/2019,1006115.21484346;
20/12/2019,677306.859111167;
21/12/2019,759089.242038868;
22/12/2019,949499.209792517;
23/12/2019,730761.017291865;
24/12/2019,596758.284247587;
25/12/2019,701726.353554965;
26/12/2019,868237.597389785;
27/12/2019,685635.28338299;
28/12/2019,562316.944862384;
29/12/2019,988699.407643123;
30/12/2019,724804.399888533;
31/12/2019,445595.375982222;
01/01/2020,695423.336835158;
02/01/2020,1018828.76058016;
03/01/2020,659620.034119296;
04/01/2020,565296.54187035;
05/01/2020,1097641.31609541;
06/01/2020,786850.605013729;
07/01/2020,901196.844609986;
08/01/2020,1209651.56106412;
09/01/2020,906991.318369058;
10/01/2020,595929.426650587;
11/01/2020,501745.460117209;
12/01/2020,689551.99199671;
13/01/2020,1249904.18551204;
14/01/2020,1601482.10270927;
15/01/2020,888152.900963791;
16/01/2020,1116671.92697818;
17/01/2020,505653.627783496;
18/01/2020,632112.687328294;
19/01/2020,979328.501556811;
20/01/2020,668118.808808229;
21/01/2020,897468.418794652;
22/01/2020,867468.190280036;
23/01/2020,692891.838389828;
24/01/2020,488493.748697748;
25/01/2020,577633.448201026;
26/01/2020,1509052.89676099;
27/01/2020,1050430.15512774;
28/01/2020,893706.050621505;
29/01/2020,1455372.46303862;
30/01/2020,1204276.68489226;
31/01/2020,818309.332065908;
01/02/2020,691971.371596464;
02/02/2020,1599642.01407951;
03/02/2020,897290.328187505;
04/02/2020,848648.943636921;
05/02/2020,1569522.48661781;
06/02/2020,1661226.21474543;
07/02/2020,784928.205700718;
08/02/2020,572106.142999936;
09/02/2020,1046338.47816011;
10/02/2020,1020598.51056751;
11/02/2020,1100253.78927996;
12/02/2020,1069433.55939573;
13/02/2020,1047777.68508166;
14/02/2020,869551.125746531;
15/02/2020,963366.419050043;
16/02/2020,1301221.59710378;
17/02/2020,1050298.61370031;
18/02/2020,1373439.68542433;
19/02/2020,1043971.92662019;
20/02/2020,826541.731464725;
21/02/2020,578355.56686758;
22/02/2020,668882.618561738;
23/02/2020,814213.527314197;
24/02/2020,874557.447876811;
25/02/2020,880402.429954982;
26/02/2020,987245.127976323;
27/02/2020,1015364.88347214;
28/02/2020,639925.705792698;
29/02/2020,566480.944950103;
01/03/2020,823835.408430342;
02/03/2020,791229.948857447;
03/03/2020,1019256.03112567;
04/03/2020,856202.222162386;
05/03/2020,949234.972177108;
06/03/2020,612862.119885382;
07/03/2020,617403.518783728;
08/03/2020,1226807.32045707;
09/03/2020,1075469.91787441;
10/03/2020,1694561.83924602;
11/03/2020,2351186.61606329;
12/03/2020,2348968.80498848;
13/03/2020,1140936.01430291;
14/03/2020,862960.829447834;
15/03/2020,1604680.52504557;
16/03/2020,1497870.78884423;
17/03/2020,1147969.2955905;
18/03/2020,1320132.5208535;
19/03/2020,1347986.39138053;
20/03/2020,704149.868179415;
21/03/2020,806322.364772903;
22/03/2020,1044812.06251601;
23/03/2020,1396119.81296503;
24/03/2020,894424.637051183;
25/03/2020,876721.776435827;
26/03/2020,1048145.48685929;
27/03/2020,705244.927677058;
28/03/2020,646945.916891303;
30/03/2020,1013898.91882692;
31/03/2020,1050378.51701018;
01/04/2020,1017608.6024598;
02/04/2020,1011879.94230324;
03/04/2020,976482.735766035;
04/04/2020,857653.815204773;
05/04/2020,553256.754269757;
06/04/2020,1089614.49405744;
07/04/2020,1176112.64626103;
08/04/2020,760551.781891682;
09/04/2020,1103388.49801343;
10/04/2020,1089003.49972664;
11/04/2020,608915.365841462;
12/04/2020,494233.050258298;
13/04/2020,985586.612082916;
14/04/2020,773028.957715486;
15/04/2020,877779.734540594;
