Timestamp,hash-rate
30-10-2019,90131834.47920874
31-10-2019,90034604.88430129
01-11-2019,89256768.12504165
02-11-2019,88673390.55559693
03-11-2019,90909671.23846836
04-11-2019,90715212.04865345
05-11-2019,91784737.59263544
06-11-2019,91590278.40282054
07-11-2019,91861270.49919154
08-11-2019,90783752.60638501
09-11-2019,90762607.51459396
10-11-2019,92339819.4165603
11-11-2019,93145448.40611649
12-11-2019,91339031.07613792
13-11-2019,90699368.88504879
14-11-2019,92859958.35645987
15-11-2019,95569879.32016979
16-11-2019,95931202.1153311
17-11-2019,94847233.7298472
18-11-2019,93853596.04315354
19-11-2019,94937564.4286375
20-11-2019,95569879.32016982
21-11-2019,92753027.64806032
22-11-2019,90641806.33248481
23-11-2019,93211181.34439714
24-11-2019,91369153.81570038
25-11-2019,90238982.02037296
26-11-2019,88200108.30866554
27-11-2019,88179081.23171318
28-11-2019,90747073.15831266
29-11-2019,91115589.19144286
30-11-2019,86785525.802163
01-12-2019,87522557.86842342
02-12-2019,89365138.03407443
03-12-2019,92681782.3322462
04-12-2019,95261394.5641576
05-12-2019,93585274.42810571
06-12-2019,94315177.49841549
07-12-2019,96880815.354774
08-12-2019,97608664.81120309
09-12-2019,97783740.21793687
10-12-2019,96761138.51699756
11-12-2019,93446264.2163581
12-12-2019,92267470.555223
13-12-2019,92907581.84747925
14-12-2019,92541803.96618998
15-12-2019,90347136.67845425
16-12-2019,91170136.91135514
17-12-2019,90530025.61909889
18-12-2019,90712914.55974351
19-12-2019,92925415.73759636
20-12-2019,93370681.8148361
21-12-2019,95746472.56319728
22-12-2019,99947585.93998148
23-12-2019,98740227.53509024
24-12-2019,97340808.474637
25-12-2019,96857362.73655987
26-12-2019,97839066.68251045
27-12-2019,96827572.57207097
28-12-2019,94344814.30099218
29-12-2019,93057458.16043282
30-12-2019,95172400.39135177
31-12-2019,97011480.59215082
01-01-2020,101344004.24026021
02-01-2020,99804501.46535619
03-01-2020,103031751.96983837
04-01-2020,105793194.8249283
05-01-2020,107512955.57361652
06-01-2020,105477457.1533581
07-01-2020,109390648.92246714
08-01-2020,107202820.50024436
09-01-2020,108770686.24796282
10-01-2020,106810854.06331481
11-01-2020,106320896.0171528
12-01-2020,105144996.70636408
13-01-2020,105928929.58022328
14-01-2020,102912016.52961263
15-01-2020,104842225.0709244
16-01-2020,106142030.57585926
17-01-2020,108225768.9546534
18-01-2020,106104409.83457527
19-01-2020,107047760.0050317
20-01-2020,108984910.82487464
21-01-2020,110810185.47842272
22-01-2020,111334854.91724099
23-01-2020,111334854.91724099
24-01-2020,110600317.70289542
25-01-2020,113958202.11133242
26-01-2020,113223664.89698684
27-01-2020,110810185.47842273
28-01-2020,110086945.93868302
29-01-2020,111290378.26366588
30-01-2020,111739680.95495503
31-01-2020,111605536.94938119
01-02-2020,110981010.23884846
02-02-2020,111681439.23054674
03-02-2020,114400102.61393987
04-02-2020,113566280.34913358
05-02-2020,113456448.35653286
06-02-2020,111149976.511918
07-02-2020,110600816.54891443
08-02-2020,109282832.63770588
09-02-2020,110381152.563713
10-02-2020,107525520.75609457
11-02-2020,109340676.42941172
12-02-2020,107554857.49007313
13-02-2020,108294601.66974199
14-02-2020,107932589.65855
15-02-2020,108343410.57122569
16-02-2020,107216583.58749141
17-02-2020,111150618.92552443
18-02-2020,111398345.74036528
19-02-2020,111287941.03695571
20-02-2020,109631870.48581049
21-02-2020,111729559.85059433
22-02-2020,112391988.07105248
23-02-2020,112391988.07105248
24-02-2020,110625512.81649761
25-02-2020,109924843.84006748
26-02-2020,109315034.29177234
27-02-2020,111571073.16195457
28-02-2020,111945558.203998
29-02-2020,110892855.15019843
01-03-2020,114681812.94945887
02-03-2020,115501740.88073802
03-03-2020,116468614.68224473
04-03-2020,119877988.67199887
05-03-2020,121637665.56993644
06-03-2020,121307726.15157302
07-03-2020,123287362.66175286
08-03-2020,121197746.345452
09-03-2020,121936055.96162643
10-03-2020,120625751.53822829
11-03-2020,116247579.24678095
12-03-2020,116070927.61330406
13-03-2020,113717813.26408865
14-03-2020,111497389.43702021
15-03-2020,108109035.40066274
16-03-2020,104972190.00322081
17-03-2020,103914239.60005282
18-03-2020,101680788.74892046
19-03-2020,96508586.77787714
20-03-2020,94627786.06113411
21-03-2020,94157585.8819484
22-03-2020,95097986.2403199
23-03-2020,94275135.92674483
24-03-2020,95333086.32991283
25-03-2020,94392685.9715413
26-03-2020,97885234.22953877
27-03-2020,100386175.75583836
28-03-2020,99147879.9767576
30-03-2020,99137723.37003459
31-03-2020,100495620.10857129
01-04-2020,100688107.93123944
02-04-2020,104989801.5557351
03-04-2020,104035696.25028667
04-04-2020,101763311.62183784
05-04-2020,103936896.91861503
06-04-2020,106308080.87873545
07-04-2020,104430893.57697344
08-04-2020,105320087.56201859
09-04-2020,104926817.65001215
10-04-2020,105903459.59372945
11-04-2020,109895383.97791171
12-04-2020,110999326.63680856
13-04-2020,109697883.67537543
14-04-2020,114921002.25323072
15-04-2020,115878648.73909871
16-04-2020,118816054.72042172
17-04-2020,118816054.72042172
18-04-2020,115054068.81898357
19-04-2020,114949569.21061029
20-04-2020,114845069.602237
21-04-2020,113800073.51850414
22-04-2020,112777076.67665614
23-04-2020,109962852.4663523
24-04-2020,109962750.669072
25-04-2020,113010797.986493
26-04-2020,111912718.68985187
27-04-2020,111554966.88776171
28-04-2020,110710037.98755714
29-04-2020,111629896.64663456
30-04-2020,113216514.46699284
01-05-2020,112423205.5568137
02-05-2020,112083216.02387969
03-05-2020,113443174.15561529
04-05-2020,116956399.32926571
05-05-2020,118883006.68255787
06-05-2020,119472293.06066503
07-05-2020,120652100.72918217
08-05-2020,122164632.51837361
09-05-2020,121853507.63821305
10-05-2020,120634706.0875249
11-05-2020,121037811.50245677
12-05-2020,121087434.47597232
13-05-2020,119743045.08479333
14-05-2020,115740173.47259876
15-05-2020,111966037.38110094
16-05-2020,110593624.25691995
17-05-2020,109449946.65343566
18-05-2020,101672938.94974327
19-05-2020,98356273.89963913
20-05-2020,94810873.32883818
21-05-2020,93625665.17859994
22-05-2020,94670543.88510191
23-05-2020,92307330.90926412
24-05-2020,90689768.7004809
25-05-2020,91494525.79228352
26-05-2020,90293241.95835556
27-05-2020,90471236.69303164
